,conteudo,acordao,dia
0, relator conselheiro marciliano reis fleming voto vencedor conselheiro isnard bastos barbosa leite contratos prestação serviços firmados tre secretaria transportes obras públicas as firmas azevedo auditores associados f barroso contrato prestação serviços túcnicos entre secretaria transportes obras públicas as firmas azevedo auditores associados f barroso objetivando execução serviços tecnicos especializados considerados irregulares contratos vistos relatados discutidos autos acima indicado acordamos membros por maioria acolher voto vencedor conselheiro isnard bastos barbosa leite para considerar irregulares contratos análise firmados gestão engenheiro civil ricardo fileira eluan então secretario estado transportes obras públicas comuncandose esta decisão aos chefes dos poderes executivo le oamuivos respectivamente vencido conselheiro relator acompanhado conselheiro alcides dutra lima que votaram pela notificação titular secretaria para sanar irregularidades cumpridas exigencias decretolei da lei conselheiro helio saraiva freitas votou sentido considerar nulos contratos por descumprimento das formalidades legais pela notificação dos responsáveis para prazo trinta dias devolver aos cofres públicos recursos indevidamente pagos corrigidos concedido igual prazo para defesa querendo sala das sessões tribunal contas rio branco / / cons josé euge de leão braga re clente ,176,02/04/1992
1, natureza apenso prestação contas prefeitura municipal rodriguesalves exercício responsável senhor francisco vagner santana amorimrelator conselheiro josé augusto araújo fariaprestação contas prefeitura municipal condenação devoluçãoaplicação multa encaminhamento cópia apurado ministériopúblico estadual cientificação aos conselhos municipais educação esaúde arquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirorelator condenar gestora devolver aos cofres municipalidade importância r doismilhões seiscentos quarenta nove mil quinhentos setenta sete reais trintae cinco centavos correspondente à diferença saldo que transfere para oexercício seguinte demonstrado conta movimento não confirmada pelosextratos bancários final exercício aplicar multa gestor de dezpor cento sobre valor ser devolvido face das graves infringências à normalegal atos gestão ilegítimos elencados relatório técnico art incisos eiii lce bde setecentos quatorze reais face daintempestividade entrega das contas descumprimento que estabelece art constituição estadual encaminhar cópia apurado ministériopúblico estadual para providências que entender adotar face ocorrêncianoticiada item relatório técnico do que consta nos arts e todos código penal cientificar aos conselhos municipais deeducação esaúde município rodrigues alves resultado análisetécnica acerca dos valores aplicados após formalidades estilo peloarquivamento ausentes justificadamente excelentíssimossenhores conselheiros antônio jorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheiro josé augusto araújo faria relatorfui presente ,7556,02/02/2012
2, natureza tce prestação contas câmara municipal deepitaciolândia exercício responsável senhor daniel dorzila oliveirarelator conselheiro josé augusto araújo fariaprestação contas câmara municipal regularidade arquivamento doprocessovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirorelator considerar regular aprestação contas epígrafe responsabilidade senhor daniel dorzilade oliveira presidente com fulcro inciso do art lce após asformalidades estilo pelo arquivamento ausentes justificadamente excelentíssimos senhores conselheiros antônio jorge malheiro antoniocristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheiro josé augusto araújo fariarelatorfui presentejoão izidro melo netoprocuradorchefe mpetceacre,7557,02/02/2012
3, natureza anexos prestação contas empresa municipal urbanizaçãode rio branco exercício responsável senhor gildo césar rocha pinto senhora maria das doresaraújo sousarelator conselheiro valmir gomes ribeiroprestação contas empresa municipal urbanização erros deprocedimento nas contratações emergenciais índices econômicos efinanceiros desfavoráveis aumento prejuízo acumulado nãoencaminhamento dos demonstrativos das obras contratadas regularidadecom ressalva arquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirorelator considerar regularcom ressalva prestação contas epígrafe responsabilidade dospresidentes à época senhor gildo césar rocha período senhora maria das dores araújo sousa período com fulcro inciso do art lei complementar estadual valendo como ressalva aos erros procedimento nas contrataçõesemergenciais os índices econômicos financeiros desfavoráveis o aumentodo prejuízo acumulado do não encaminhamento dos demonstrativos das obrascontratadas após formalidades estilo pelo arquivamento processoausentes justificadamente excelentíssimos senhores conselheiros antôniojorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheiro valmir gomes ribeirorelatorfui presentejoão izidro melo neto,7560,02/02/2012
4, natureza tce relatório gestão fiscal prefeitura municipal desenador guiomard relativo semestre responsável senhor james pereira silvarelator conselheiro valmir gomes ribeirorelatório gestão fiscal prefeitura municipal alerta com fulcro incisoii art lrf notificação abertura autosseparados para apurar responsabilidade gestor apensamento destesautos à prestação contas exercício vistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirorelator alertar senhorjames pereira silva prefeito com fulcro inciso do art dalrf para que sejam observadas cumpridas todas vedações constantes nosincisos a do parágrafo único art mesmo diploma legal notificar ogestor para que tome ciência das inconsistências apontadas relatório técnico fls que nas próximas edições espécie faça cumprir normas portariastn sob pena responsabilidade autuar autosapartados para fins apuração responsabilidade senhor james pereira dasilva prefeito face não comprovação publicação matéria nos termos doart inciso e lei apensar estes autos à prestação decontas exercício tendo vista ainconsistência dos dados noticiados pela inspetoria ausentes justificadamente excelentíssimos senhores conselheiros antônio jorge malheiro antoniocristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheiro valmir gomes ribeirorelator,7564,02/02/2012
5, natureza tce prestação contas controladoria geral estado doacre exercício responsável senhora flora valladares coelhorelatora conselheira dulcinéa benício araújoprestação contas controladoria geral estado acre erro formal decontabilização dos restos pagar não encaminhamento daportaria contador ausência assinatura gerência setorial depatrimônio inventário bens móveis regularidade com ressalvaarquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirarelatora considerar regularcom ressalva prestação contas epígrafe responsabilidade senhoraflora valladares coelho controladora geral à época com fulcro inciso doart lei complementar estadual valendo como ressalvas erroformal contabilização dos restos pagar qual resultou divergência valor r dois mil seiscentos noventa reais entre conta aquisição bens móveis constante nademonstração das variações patrimoniais o elemento despesa equipamentos material permanente não encaminhamento portaria docontador c ausência assinatura gerência setorial patrimônio noinventário bens móveis após formalidades estilo pelo arquivamento ausentes justificadamente excelentíssimos senhores conselheirosantônio jorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheira dulcinéa benício araújorelatorafui presente,7567,02/02/2012
6, natureza tce prestação contas câmara municipal brasiléia exercício responsável senhor raimundo lacerda silvarelatora conselheira dulcinéa benício araújoprestação contas câmara municipal não escrituração contaalmoxarifado demonstrativo das variações patrimoniais divergência novalor ativo real líquido encontrado balanço patrimonial nademonstração das variações patrimoniais ausência informações noinventário analítico dos bens móveis imóveis município regularidadecom ressalva arquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirarelatora considerar regularcom ressalvas prestação contas epígrafe responsabilidade senhorraimundo lacerda silva presidente à época com fulcro inciso do art lei complementar estadual valendo como ressalvas nãoescrituração conta almoxarifado valor r cem mil reais nodemonstrativo das variações patrimoniais a divergência valor ativo reallíquido encontrado balanço patrimonial na demonstração das variaçõespatrimoniais valor r ca ausência informações inventárioanalítico dos bens móveis imóveis município após formalidades estilo pelo arquivamento ausentes justificadamente excelentíssimossenhores conselheiros antônio jorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheira dulcinéa benício araújorelatorafui presente,7569,02/02/2012
7, natureza anexo apenso pedido revisão decisão contida parecer prévio no exarados nos autosdo anexo prestaçãode contas prefeitura municipal porto walter exercício responsável senhor wanderley messias salesrelatora conselheira dulcinéa benício araújopedido revisão prestação contas prefeitura municipalconhecimento não provimento manutenção totum das decisõesrecorridas intimação pessoal recorrente encaminhamento cópia daprestação contas do presente recurso à câmara municipal portowalter arquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirarelatora conhecer dopedido revisão no mérito pelo seu não provimento mantendo consequentemente totum decisões contidas noparecer prévio ambas exaradas nos autos intimar pessoalmente recorrente desta decisão encaminhar cópia prestação contas também presente recurso à câmaramunicipal porto walter para julgamento consoante prevê art constituição estadual após formalidades estilo peloarquivamento ausentes justificadamente excelentíssimossenhores conselheiros antônio jorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheira dulcinéa benício araújorelatorafui presente,7571,02/02/2012
8, natureza apenso pedido revisão decisão contida exarado nos autos prestação contas câmaramunicipal mâncio lima exercício responsável senhor wilton gadelha siqueirarelatora conselheira dulcinéa benício araújopedido revisão prestação contas câmara municipal conhecimentoprovimento afastamento irregularidade afastamento condenação dogestor intimação pessoal recorrente arquivamento processovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirarelatora conhecer dopedido revisão por ser próprio tempestivo para mérito darlhe totalprovimento modo considerar regular prestação contas câmaramunicipal mâncio lima relativa exercício baafastar aplicação pena devolução quantia r cinco mil duzentos setenta nove reais quatro centavos bem como multano valor r setecentos quatorze reais intimar pessoalmente orecorrente após formalidades estilo pelo arquivamento dosautos ausentes justificadamente excelentíssimos senhores conselheirosantônio jorge malheiro antonio cristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheira dulcinéa benício araújorelatorafui presentejoão izidro melo neto,7572,02/02/2012
9, natureza volumes anexos prestação contas secretaria estado fazenda exercício responsável senhor mâncio lima cordeirorelatora conselheira naluh maria lima gouveia dos santosprestação contas secretaria estado fazenda não cumprimentodos prazos para prestar contas dos suprimentos fundos concedidosconforme exigência decreto / / suasalterações pelo decreto / / regularidadecom ressalva notificação cientificação apurado desta decisão senhorgovernador ao presidente assembléia legislativa arquivamento doprocessovistos relatados discutidos autos acimaidentificado acordam membros à unanimidade nos termos voto conselheirarelatora considerar regularcom ressalva prestação contas epígrafe responsabilidade senhormâncio lima cordeiro secretário estado com fulcro inciso do art dalei complementar estadual valendo como ressalva não cumprimentodos prazos para prestar contas dos suprimentos fundos concedidos conformeexigência decreto / / suas alterações pelodecreto / / notificar gestor para tomarciência ressalva apontada corrigila nas próximas edições matéria casoainda não tenha ocorrido cientificar apurado desta decisão senhorgovernador estado ao presidente assembleia legislativa após asformalidades estilo pelo arquivamento ausentes justificadamente excelentíssimos senhores conselheiros antônio jorge malheiro antoniocristovão correia demessias rio branco / / conselheiro ronald polanco ribeiropresidente tceacreconselheira naluh maria lima gouveia dos santosrelatora,7573,02/02/2012
